title,DOI,abstract,processed_abstract
Recent advances in ammonia synthesis technologies: Toward future zero carbon emissions,http://dx.doi.org/10.1016/j.ijhydene.2022.09.061,"As a carbon-free molecule, ammonia has gained great global interest in being considered a significant future candidate for the transition toward renewable energy. Numerous applications of ammonia as a fuel have been developed for energy generation, heavy transportation, and clean, distributed energy storage. There is a clear global target to achieve a sustainable economy and carbon neutrality. Therefore, most of the research's efforts are concentrated on generating cost-effective renewable energy on a large scale rather than fossil fuels. However, storage and transportation are still roadblocks for these technologies, for example, hydrogen technologies. Ammonia could be replaced as a viable fuel for a clean and sustainable future of global energy. More efforts from governments and scientists can lead to making ammonia a clean energy vector in most energy applications. In this review, ammonia synthesis was assessed, including conventional Haber_Bosch technology. Current hydrogen technologies as the key parameters for ammonia generation are also evaluated. The role of ammonia as a hydrogen-based fuel and generation roadmap are discussed for future utilization of energy mix. Further, ammonia generation processes are addressed in depth, including blue and green ammonia generation. A survey of ammonia synthesis catalytic materials was conducted and the role of catalyst materials in ammonia generation was compared, which showed that the Ru-based catalyst generated the maximum ammonia after 20 h of starting experiment. An end-use plan for using ammonia as a clean energy fuel in vehicles, marines, gas turbines as well as fuel cells, is briefly discussed to recognize the potential applications of ammonia use. The practical and future end-use vision of energy sources is proposed to achieve great benefits at low carbon emissions and costs. This review can provide prospective knowledge of large-scale aspects and environmental considerations of ammonia. Herein, we conclude that ammonia will become the ¡°clean energy carrier link¡± that will achieve the global energy and economy sustainability targets.",carbonfree molecule ammonia gain great global interest consider significant future candidate transition renewable energy numerous application ammonia fuel develop energy generation heavy transportation clean distribute energy storage clear global target achieve sustainable economy carbon neutrality researchs effort concentrate generate costeffective renewable energy large scale fossil fuel storage transportation roadblock technology example hydrogen technology ammonia replace viable fuel clean sustainable future global energy effort government scientist lead ammonia clean energy vector energy application review ammonia synthesis assess include conventional haberbosch technology current hydrogen technology key parameter ammonia generation evaluate role ammonia hydrogenbase fuel generation roadmap discuss future utilization energy mix ammonia generation process address depth include blue green ammonia generation survey ammonia synthesis catalytic material conduct role catalyst material ammonia generation compare rubase catalyst generate maximum ammonia 20 h start experiment enduse plan use ammonia clean energy fuel vehicle marine gas turbine fuel cell briefly discuss recognize potential application ammonia use practical future enduse vision energy source propose achieve great benefit low carbon emission cost review provide prospective knowledge largescale aspect environmental consideration ammonia conclude ammonia ¡ ° clean energy carrier link¡± achieve global energy economy sustainability target
Co doping regulating electronic structure of Bi2MoO6 to construct dual active sites for photocatalytic nitrogen fixation,http://dx.doi.org/10.1016/j.apcatb.2023.123057,"A B S T R A C T Although photocatalytic nitrogen reduction reaction (PNRR) is a green ammonia synthesis technology, it still encounters low adsorption/activation efficiency of N2 and lack of reaction active sites. Element doping is an efficient strategy to regulate electronic structure of catalyst. Nevertheless, the mechanism of the effect of doping elements on the N2 adsorption/activation, reaction active site and energy barriers is not well unraveled. Taking Co doped Bi2MoO6 (Co-Bi2MoO6) as a model photocatalyst, density functional theory (DFT) and experiment study were used to investigate the mechanism of Co doping on the PNRR performance over Bi2MoO6. DFT results reveal that Co doping regulates the electronic structure, activates Bi sites of Co-Bi2MoO6 and provides new Co active sites, thus constructing dual active sites for PNRR. Benefited from dual active sites for effectively adsorption/activation N2, the as-fabricated 3% Co-Bi2MoO6 exhibit the maximum NH3 generation rate of 95.5 Î¼mol__ 1__ 1 without sacrificial agents, which is 7.2 times that of Bi2MoO6. Furthermore, the detail mechanism of N--N bond adsorption/activation and hydrogenation reaction on Co-Bi2MoO6 was also proposed according to in-situ FTIR and DFT results. This study provides a promising strategy to design catalysts with dual active sites for PNRR, which is of great significance to the popularization of other material systems.",b s t r c t photocatalytic nitrogen reduction reaction pnrr green ammonia synthesis technology encounter low adsorptionactivation efficiency n2 lack reaction active site element dope efficient strategy regulate electronic structure catalyst mechanism effect dope element n2 adsorptionactivation reaction active site energy barrier unravel take co dope bi2moo6 cobi2moo6 model photocatalyst density functional theory dft experiment study use investigate mechanism co dope pnrr performance bi2moo6 dft result reveal co dope regulate electronic structure activate bi site cobi2moo6 provide new co active site construct dual active site pnrr benefit dual active site effectively adsorptionactivation n2 asfabricate 3 cobi2moo6 exhibit maximum nh3 generation rate 955 î¼mol 1 1 sacrificial agent 72 time bi2moo6 furthermore detail mechanism nn bond adsorptionactivation hydrogenation reaction cobi2moo6 propose accord insitu ftir dft result study provide promise strategy design catalyst dual active site pnrr great significance popularization material system
"A Prompt Decarbonization Pathway for Shipping: Green Hydrogen, Ammonia, and Methanol Production and Utilization in Marine Engines",http://dx.doi.org/10.3390/atmos14030584,"The shipping industry has reached a higher level of maturity in terms of its knowledge and awareness of decarbonization challenges. Carbon-free or carbon-neutralized green fuel, such as green hydrogen, green ammonia, and green methanol, are being widely discussed. However, little attention has paid to the green fuel pathway from renewable energy to shipping. This paper, therefore, provides a review of the production methods for green power (green hydrogen, green ammonia, and green methanol) and analyzes the potential of green fuel for application to shipping. The review shows that the potential production methods for green hydrogen, green ammonia, and green methanol for the shipping industry are (1) hydrogen production from seawater electrolysis using green power; (2) ammonia production from green hydrogen + Haber-Bosch process; and (3) methanol production from CO2 using green power. While the future of green fuel is bright, in the short term, the costs are expected to be higher than conventional fuel. Our recommendations are therefore as follows: improve green power production technology to reduce the production cost; develop electrochemical fuel production technology to increase the efficiency of green fuel production; and explore new technology. Strengthening the research and development of renewable energy and green fuel production technology and expanding fuel production capacity to ensure an adequate supply of low- and zero-emission marine fuel are important factors to achieve carbon reduction in shipping.",shipping industry reach high level maturity term knowledge awareness decarbonization challenge carbonfree carbonneutralize green fuel green hydrogen green ammonia green methanol widely discuss little attention pay green fuel pathway renewable energy ship paper provide review production method green power green hydrogen green ammonia green methanol analyze potential green fuel application ship review potential production method green hydrogen green ammonia green methanol shipping industry 1 hydrogen production seawater electrolysis use green power 2 ammonia production green hydrogen haberbosch process 3 methanol production co2 use green power future green fuel bright short term cost expect high conventional fuel recommendation follow improve green power production technology reduce production cost develop electrochemical fuel production technology increase efficiency green fuel production explore new technology strengthen research development renewable energy green fuel production technology expand fuel production capacity ensure adequate supply low zeroemission marine fuel important factor achieve carbon reduction shipping
Utilization of green ammonia as a hydrogen energy carrier for decarbonization in spark ignition engines,http://dx.doi.org/10.1016/j.ijhydene.2023.04.073,"AbRising concerns about the dependence of modern energy systems on fossil fuels have raised the requirement for green alternate fuels to pave the roadmap for a sustainable energy future with a carbon-free economy. Massive expectations of hydrogen as an enabler for decarbonization of the energy sector are limited by the lack of required infrastructure, whose implementation is affected by the issues related to the storage and distribution of hydrogen energy. Ammonia is an effective hydrogen energy carrier with a well-established and mature infrastructure for long-distance transportation and distribution. The possibility for green ammonia production from renewable energy sources has made it a suitable green alternate fuel for the decarbonization of the automotive and power generation sectors. In this work, engine characteristics for ammonia combustion in spark ignition engines have been reported with a detailed note on engines fuelled with pure ammonia as well as blends of ammonia with gasoline, hydrogen, and methane. Higher auto-ignition temperature, low flammability, and lower flame speed of ammonia have a detrimental effect on engine characteristics, and it could be addressed either by incorporating engine modifications or by enhancing the fuel quality. Literature shows that the increase in compression ratio from 9.4:1 to 11.5:1 improved the maximum power by 59% and the addition of 10% hydrogen in supercharged conditions improved the indicated efficiency by 37%. Challenges and strategies for the utilization of ammonia as combustible fuel in engines are discussed by considering the need for technical advancements as well as social acceptance. Energy efficiency for green ammonia production is also discussed with a due note on techniques for direct synthesis of ammonia from air and water.stract not available.",abrise concern dependence modern energy system fossil fuel raise requirement green alternate fuel pave roadmap sustainable energy future carbonfree economy massive expectation hydrogen enabler decarbonization energy sector limit lack require infrastructure implementation affect issue relate storage distribution hydrogen energy ammonia effective hydrogen energy carrier wellestablishe mature infrastructure longdistance transportation distribution possibility green ammonia production renewable energy source suitable green alternate fuel decarbonization automotive power generation sector work engine characteristic ammonia combustion spark ignition engine report detailed note engine fuel pure ammonia blend ammonia gasoline hydrogen methane high autoignition temperature low flammability low flame speed ammonia detrimental effect engine characteristic address incorporate engine modification enhance fuel quality literature increase compression ratio 941 1151 improve maximum power 59 addition 10 hydrogen supercharge condition improve indicate efficiency 37 challenge strategy utilization ammonia combustible fuel engine discuss consider need technical advancement social acceptance energy efficiency green ammonia production discuss note technique direct synthesis ammonia air waterstract available
Defective TiO2-x for High-Performance Electrocatalytic NO Reduction toward Ambient NH3 Production,http://dx.doi.org/10.1002/smll.202300291,"Synthesis of green ammonia (NH3) via electrolysis of nitric oxide (NO) is extraordinarily sustainable, but multielectron/proton_involved hydrogenation steps as well as low concentrations of NO can lead to poor activities and selectivities of electrocatalysts. Herein, it is reported that oxygen_defective TiO2 nanoarray supported on Ti plate (TiO2_x/TP) behaves as an efficient catalyst for NO reduction to NH3. In 0.2 m phosphate_buffered electrolyte, such TiO2_x/TP shows competitive electrocatalytic NH3 synthesis activity with a maximum NH3 yield of 1233.2 _g h_1 cm_2 and Faradaic efficiency of 92.5%. Density functional theory calculations further thermodynamically faster NO deoxygenation and protonation processes on TiO2_x (101) compared to perfect TiO2 (101). And the low energy barrier of 0.7 eV on TiO2_x (101) for the potential_determining step further highlights the greatly improved intrinsic activity. In addition, a Zn_NO battery is fabricated with TiO2_x/TP and Zn plate to obtain an NH3 yield of 241.7 _g h_1 cm_2 while providing a peak power density of 0.84 mW cm_2.",synthesis green ammonia nh3 electrolysis nitric oxide extraordinarily sustainable multielectronprotoninvolve hydrogenation step low concentration lead poor activity selectivity electrocatalyst report oxygendefective tio2 nanoarray support ti plate tio2xtp behave efficient catalyst reduction nh3 02 m phosphatebuffere electrolyte tio2xtp competitive electrocatalytic nh3 synthesis activity maximum nh3 yield 12332 g h1 cm2 faradaic efficiency 925 density functional theory calculation far thermodynamically fast deoxygenation protonation process tio2x 101 compare perfect tio2 101 low energy barrier 07 ev tio2x 101 potentialdetermine step far highlight greatly improve intrinsic activity addition znno battery fabricate tio2xtp zn plate obtain nh3 yield 2417 g h1 cm2 provide peak power density 084 mw cm2
Techno-economic assessment of green hydrogen and ammonia production from wind and solar energy in Iran,http://dx.doi.org/10.1016/j.ijhydene.2022.12.285,"This paper presents a comprehensive technical and economic assessment of potential green hydrogen and ammonia production plants in different locations in Iran with strong wind and solar resources. The study was organized in five steps. First, regarding the wind density and solar PV potential data, three locations in Iran were chosen with the highest wind power, solar radiation, and a combination of both wind/solar energy. All these locations are inland spots, but since the produced ammonia is planned to be exported, it must be transported to the export harbor in the South of Iran. For comparison, a base case was also considered next to the export harbor with normal solar and wind potential, but no distance from the export harbor. In the second step, a similar large-scale hydrogen production facility with proton exchange membrane electrolyzers was modeled for all these locations using the HOMER Pro simulation platform. In the next step, the produced hydrogen and the nitrogen obtained from an air separation unit are supplied to a Haber-Bosch process to synthesize ammonia as a hydrogen carrier. Since water electrolysis requires a considerable amount of water with specific quality and because Iran suffers from water scarcity, this paper, unlike many similar research studies, addresses the challenges associated with the water supply system in the hydrogen production process. In this regard, in the fourth step of this study, it is assumed that seawater from the nearest sea is treated in a desalination plant and sent to the site locations. Finally, since this study intends to evaluate the possibility of green hydrogen export from Iran, a detailed piping model for the transportation of water, hydrogen, and ammonia from/to the production site and the export harbor is created in the last step, which considers the real routs using satellite images, and takes into account all pump/compression stations required to transport these media. This study provides a realistic cost of green hydrogen/ammonia production in Iran, which is ready to be exported, considering all related processes involved in the hydrogen supply chain.",paper present comprehensive technical economic assessment potential green hydrogen ammonia production plant different location iran strong wind solar resource study organize step regard wind density solar pv potential datum location iran choose high wind power solar radiation combination windsolar energy location inland spot produce ammonia plan export transport export harbor south iran comparison base case consider export harbor normal solar wind potential distance export harbor second step similar largescale hydrogen production facility proton exchange membrane electrolyzer model location use homer pro simulation platform step produce hydrogen nitrogen obtain air separation unit supply haberbosch process synthesize ammonia hydrogen carrier water electrolysis require considerable water specific quality iran suffer water scarcity paper unlike similar research study address challenge associate water supply system hydrogen production process regard fourth step study assume seawater near sea treat desalination plant send site location finally study intend evaluate possibility green hydrogen export iran detail pipe model transportation water hydrogen ammonia fromto production site export harbor create step consider real rout use satellite image account pumpcompression station require transport medium study provide realistic cost green hydrogenammonia production iran ready export consider relate process involve hydrogen supply chain
Estimating global production and supply costs for green hydrogen and hydrogen-based green energy commodities,http://dx.doi.org/10.1016/j.ijhydene.2022.12.046,j o u r n a l h o m e p a g e : w w w . e l s e v i e r . c o m / l o c a t e / h e h i g h l i g h t s Comprehensive database for global production and supply costs with projections until 2050. Production costs are the significant cost component for liquid or easily liquefiable energy commodities. Green hydrogen might be traded regionally via pipeline rather than shipped globally via LH2. Importing green ammonia is more cost-efficient than importing green hydrogen for domestic ammonia production in Germany. Germany: Only if a low-cost European H2 pipeline grid exists could ammonia production from imported H2 be cost-effective.,j o r n l h o m e p g e w w w e l s e v e r c o m l o c t e h e h g h l g h t s comprehensive database global production supply cost projection 2050 production cost significant cost component liquid easily liquefiable energy commodity green hydrogen trade regionally pipeline ship globally lh2 import green ammonia costefficient import green hydrogen domestic ammonia production germany germany lowcost european h2 pipeline grid exist ammonia production import h2 costeffective
"A Perspective on the Overarching Role of Hydrogen, Ammonia, and Methanol Carbon-Neutral Fuels towards Net Zero Emission in the Next Three Decades",http://dx.doi.org/10.3390/en16010280,"Arguably, one of the most important issues the world is facing currently is climate change. At the current rate of fossil fuel consumption, the world is heading towards extreme levels of global temperature rise if immediate actions are not taken. Transforming the current energy system from one largely based on fossil fuels to a carbon-neutral one requires unprecedented speed. Based on the current state of development, direct electrification of the future energy system alone is technically challenging and not enough, especially in hard-to-abate sectors like heavy industry, road trucking, international shipping, and aviation. This leaves a considerable demand for alternative carbon-neutral fuels such as green ammonia and hydrogen and renewable methanol. From this perspective, we discuss the overarching roles of each fuel in reaching net zero emission within the next three decades. The challenges and future directions associated with the fuels conclude the current perspective paper.",arguably important issue world face currently climate change current rate fossil fuel consumption world head extreme level global temperature rise immediate action transform current energy system largely base fossil fuel carbonneutral require unprecedented speed base current state development direct electrification future energy system technically challenge especially hardtoabate sector like heavy industry road trucking international shipping aviation leave considerable demand alternative carbonneutral fuel green ammonia hydrogen renewable methanol perspective discuss overarch role fuel reach net zero emission decade challenge future direction associate fuel conclude current perspective paper
The economics of global green ammonia trade - Shipping Australian wind and sunshine to Germany,http://dx.doi.org/10.1016/j.apenergy.2023.120662,"This paper contributes to understanding the transformation of global energy trade to green energy carriers, focusing on green ammonia as the foreseeable first green hydrogen carrier. We provide a comprehensive overview of today's ammonia trade and assess scaling options for the trade of green ammonia. To that aim, we develop an optimization model for the integrated assessment of the green ammonia value chain that covers all steps from green ammonia production in an exporting country, up to delivery to a harbor in an importing country. The model endogenously chooses among different technology options and determines cost minimal operation. In a case study, we apply the model to the large-scale import of ammonia from Australia to Germany in a scenario for 2030. The results show that green ammonia can reach cost parity with gray ammonia even for moderate gas prices (but not necessarily with blue ammonia) if CO2 prices are high enough. We also provide a sensitivity analysis with respect to the interest rate and other key technical and economic parameters and show that cracking ammonia to provide pure hydrogen comes at a 45 % cost markup per MWh at the destination.",paper contribute understand transformation global energy trade green energy carrier focus green ammonia foreseeable green hydrogen carrier provide comprehensive overview today ammonia trade assess scaling option trade green ammonia aim develop optimization model integrate assessment green ammonia value chain cover step green ammonia production export country delivery harbor import country model endogenously choose different technology option determine cost minimal operation case study apply model largescale import ammonia australia germany scenario 2030 result green ammonia reach cost parity gray ammonia moderate gas price necessarily blue ammonia co2 price high provide sensitivity analysis respect interest rate key technical economic parameter crack ammonia provide pure hydrogen come 45 cost markup mwh destination
Techno-economic evaluation of hydrogen and ammonia as energy carriers in a multi-generation system,http://dx.doi.org/10.1016/j.enconman.2023.116670,"Green hydrogen is suitable for grid-scale energy storage to increase the penetration of renewable energy, and it is also an alternative to fossil fuels. However, it still suffers from storage problems owing to its low volumetric energy density, embrittlement, and very low boiling point. To improve safety and reduce cost, green ammonia has been proposed as a substitute for hydrogen and has attracted considerable attention. In this study, a multi-generation system was proposed to compare green hydrogen and green ammonia as energy carriers. Four scenarios are discussed and the performances under different energy carriers, constant and time-of-use electricity prices, and on-grid and off-grid operations are compared. The optimal planning of the system was formulated as a mixed-integer linear programming problem and was evaluated using supply and demand profiles hourly over a year. The objective was to maximize profitability, which is reflected by the cumulative cash position and payback period. The results revealed that the hydrogen-based system was superior to the ammonia-based system. In the hydrogen-based scenario, the cumulative cash position was 83.43 MUSD and the payback period was 14 years. The cumulative cash position and payback period were 12.78 MUSD and 22 years, respectively, in the ammonia-based scenario. To improve profitability, it is recommended to increase the capacity for hydrogen/ammonia production and reduce the capacity for backup power generation.",green hydrogen suitable gridscale energy storage increase penetration renewable energy alternative fossil fuel suffer storage problem owe low volumetric energy density embrittlement low boiling point improve safety reduce cost green ammonia propose substitute hydrogen attract considerable attention study multigeneration system propose compare green hydrogen green ammonia energy carrier scenario discuss performance different energy carrier constant timeofuse electricity price ongrid offgrid operation compare optimal planning system formulate mixedinteger linear programming problem evaluate use supply demand profile hourly year objective maximize profitability reflect cumulative cash position payback period result reveal hydrogenbased system superior ammoniabase system hydrogenbase scenario cumulative cash position 8343 musd payback period 14 year cumulative cash position payback period 1278 musd 22 year respectively ammoniabase scenario improve profitability recommend increase capacity hydrogenammonia production reduce capacity backup power generation
